AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn
48,18.477004999368866,886.8962399697056,Basic,Bank transfer,No,TV Shows,Yes,TV,27.82364581002785,75.71829360462125,18,Drama,4.164628987456673,6,Male,22,Yes,No,3QPNNO0FFN,0
58,7.72844774,448.2499689347755,Basic,Electronic check,Yes,Movies,Yes,Computer,30.675517808314392,114.41420058829978,22,Comedy,2.086332200737526,2,Female,22,Yes,Yes,9WO9SHG3EV,0
82,14.13450275835828,1159.029226185379,Standard,Credit card,Yes,Movies,Yes,TV,38.83645435,141.32008679400363,14,Action,2.501094351959578,7,Female,17,No,No,SSGV1VII4W,1
106,18.394470721247814,1949.8138964522682,Standard,Credit card,No,Both,Yes,Computer,14.94840932761801,24.634925323668615,30,Sci-Fi,1.1437669024568287,1,Female,1,Yes,Yes,EGJ1JS4ZRK,0
35,14.516033496164683,508.0611723657639,Premium,Credit card,Yes,TV Shows,Yes,Tablet,30.820222375157027,108.09953562148803,30,Drama,2.8749993199138935,3,Female,21,Yes,Yes,J9OPN3UW5K,0
36,15.060304461362625,542.1709606090545,Basic,Bank transfer,No,Both,No,Mobile,27.251668668654414,8.504636758672985,23,Comedy,1.282747600610195,3,Male,13,No,Yes,Q7BRVY7HY8,1
61,7.404503163,451.67469295054144,Standard,Credit card,No,Both,Yes,Mobile,23.98776878923801,172.37603275775282,17,Sci-Fi,4.7842137484056035,5,Female,14,No,Yes,SYC1WTRBS9,1
59,15.26370959,900.5588659870767,Premium,Electronic check,Yes,Movies,Yes,TV,25.168660243061538,53.408695392624296,7,Fantasy,1.095594626645458,8,Female,8,No,No,LYN6S3Q8EN,0
71,16.950089503264735,1203.4563547317962,Standard,Credit card,Yes,Movies,No,Mobile,15.657094293544723,169.33021594479132,44,Sci-Fi,2.420934012,9,Male,19,Yes,Yes,3L67MIG9UX,1
89,7.248356016002676,645.1036854242382,Premium,Credit card,Yes,TV Shows,Yes,Tablet,5.574778492,79.03269657264731,18,Comedy,3.927266880166604,2,Female,0,No,No,HTKHQ86UUC,1
